"time","x","y","position","velocity","acceleration","jerk","heading"
0,372.6,274.6,0,0,150,0,-53.8
0.02,372.702,274.46,0.173205,3,150,0,-53.8011
0.04,372.805,274.32,0.34641,6,150,0,-53.8023
0.06,372.907,274.181,0.519615,9,150,0,-53.8034
0.08,373.009,274.041,0.69282,12,150,0,-53.8046
0.1,373.111,273.901,0.866025,15,150,0,-53.8057
0.12,373.247,273.717,1.09471,18,150,0,-53.8078
0.14,373.493,273.379,1.51286,21,150,0,-53.8132
0.16,373.74,273.042,1.93102,24,150,0,-53.8185
0.18,374.05,272.619,2.45505,27,150,0,-53.8285
0.2,374.371,272.179,3,30,150,0,-53.8393
0.22,374.753,271.657,3.64641,33,150,0,-53.8602
0.24,375.157,271.103,4.33237,36,150,0,-53.8846
0.26,375.594,270.504,5.07309,39,150,0,-53.9139
0.28,376.071,269.848,5.88465,42,150,0,-53.952
0.3,376.584,269.143,6.75708,45,150,0,-54.0026
0.32,377.131,268.39,7.68717,48,150,0,-54.0632
0.34,377.711,267.589,8.67644,51,150,0,-54.1356
0.36,378.325,266.738,9.72525,54,150,0,-54.2257
0.38,378.972,265.839,10.8333,57,150,0,-54.3331
0.4,379.651,264.89,12,60,150,0,-54.4581
0.42,380.367,263.886,13.2333,63,150,0,-54.6161
0.44,381.113,262.832,14.5243,66,150,0,-54.7986
0.46,381.887,261.73,15.8718,69,150,0,-55.0132
0.48,382.694,260.572,17.2829,72,150,0,-55.2714
0.5,383.528,259.362,18.7525,75,150,0,-55.5703
0.52,384.39,258.097,20.2825,78,150,0,-55.9274
0.54,385.275,256.778,21.8713,81,150,0,-56.3439
0.56,386.185,255.4,23.5227,84,150,0,-56.8318
0.58,387.113,253.965,25.2317,87,150,0,-57.4024
0.6,388.057,252.47,27,90,150,0,-58.0609
0.62,389.016,250.91,28.8312,93,150,0,-58.8214
0.64,389.983,249.285,30.7216,96,150,0,-59.6883
0.66,390.953,247.594,32.6717,99,150,0,-60.6601
0.68,391.921,245.833,34.6816,102,150,0,-61.7255
0.7,392.884,244,36.7513,105,150,0,-62.8643
0.72,393.835,242.095,38.8807,108,150,0,-64.0432
0.74,394.773,240.117,41.0704,111,150,0,-65.217
0.76,395.697,238.064,43.3213,114,150,0,-66.3305
0.78,396.605,235.94,45.6313,117,150,0,-67.3343
0.8,397.5,233.747,48,120,8.51692e-06,0,-68.1958
0.82,398.377,231.513,50.4,120,0,0,-68.8774
0.84,399.232,229.27,52.8,120,0,0,-69.3896
0.86,400.069,227.021,55.2,120,0,0,-69.7361
0.88,400.895,224.768,57.6,120,0,0,-69.9547
0.9,401.715,222.512,60,120,0,0,-70.067
0.92,402.533,220.256,62.4,120,0,0,-70.095
0.94,403.35,217.999,64.8,120,0,0,-70.0596
0.96,404.17,215.744,67.2,120,0,0,-69.9788
0.98,404.994,213.489,69.6,120,0,0,-69.8636
1,405.823,211.237,72,120,0,0,-69.7252
1.02,406.657,208.987,74.4,120,0,0,-69.5715
1.04,407.498,206.739,76.8,120,0,0,-69.4095
1.06,408.345,204.494,79.2,120,0,0,-69.2439
