"time","x","y","position","velocity","acceleration","jerk","heading"
0,361.303,266.332,0,0,0,0,-53.8
0.02,361.404,266.192,0.172948,8.64739,432.37,21618.5,-53.8011
0.04,361.507,266.052,0.346462,8.67571,1.41576,-21547.7,-53.8023
0.06,361.609,265.913,0.518603,8.60703,-3.43384,-242.48,-53.8034
0.08,361.711,265.773,0.691526,8.64617,1.95699,269.541,-53.8046
0.1,361.813,265.634,0.864474,8.64739,0.0610864,-94.7953,-53.8057
0.12,361.948,265.45,1.09277,11.4146,138.362,6915.02,-53.8078
0.14,362.194,265.113,1.50949,20.8362,471.078,16635.8,-53.8132
0.16,362.44,264.777,1.92602,20.8265,-0.483266,-23578.1,-53.8185
0.18,362.748,264.356,2.44801,26.0994,263.646,13206.5,-53.8285
0.2,363.068,263.918,2.99002,27.1004,50.0501,-10679.8,-53.8393
0.22,363.447,263.4,3.63176,32.0869,249.323,9963.64,-53.8602
0.24,363.847,262.851,4.31145,33.985,94.9047,-7720.91,-53.8846
0.26,364.28,262.258,5.04576,36.7153,136.514,2080.49,-53.9139
0.28,364.752,261.61,5.84754,40.089,168.684,1608.5,-53.952
0.3,365.257,260.915,6.70707,42.9764,144.37,-1215.73,-54.0026
0.32,365.796,260.174,7.62297,45.795,140.935,-171.765,-54.0632
0.34,366.365,259.387,8.59422,48.5624,138.369,-128.264,-54.1356
0.36,366.966,258.554,9.62158,51.3682,140.288,95.9215,-54.2257
0.38,367.598,257.676,10.703,54.0686,135.02,-263.382,-54.3331
0.4,368.259,256.752,11.8393,56.8175,137.448,121.387,-54.4581
0.42,368.953,255.779,13.0339,59.7274,145.494,402.325,-54.6161
0.44,369.673,254.762,14.2805,62.3349,130.373,-756.085,-54.7986
0.46,370.417,253.703,15.5748,64.7109,118.802,-578.532,-55.0132
0.48,371.188,252.596,16.9231,67.4184,135.373,828.548,-55.2714
0.5,371.981,251.446,18.3197,69.8271,120.435,-746.873,-55.5703
0.52,372.793,250.254,19.7632,72.1759,117.441,-149.737,-55.9274
0.54,373.622,249.019,21.2498,74.3311,107.757,-484.17,-56.3439
0.56,374.466,247.741,22.782,76.6071,113.803,302.265,-56.8318
0.58,375.318,246.423,24.3515,78.4749,93.3874,-1020.76,-57.4024
0.6,376.176,245.064,25.9586,80.3597,94.2429,42.7749,-58.0609
0.62,377.038,243.662,27.604,82.2686,95.4462,60.1653,-58.8214
0.64,377.897,242.219,29.2832,83.9567,84.4037,-552.129,-59.6883
0.66,378.749,240.734,30.9952,85.6002,82.1742,-111.474,-60.6601
0.68,379.591,239.201,32.7444,87.4596,92.9678,539.683,-61.7255
0.7,380.425,237.615,34.5367,89.6156,107.804,741.819,-62.8643
0.72,381.247,235.967,36.3778,92.0565,122.043,711.926,-64.0432
0.74,382.062,234.248,38.2801,95.1165,153.001,1547.91,-65.217
0.76,382.875,232.444,40.2594,98.9638,192.366,1968.27,-66.3305
0.78,383.686,230.545,42.3241,103.234,213.489,1056.13,-67.3343
0.8,384.502,228.547,44.4822,107.905,233.568,1003.97,-68.1958
0.82,385.318,226.468,46.7156,111.672,188.328,-2262.01,-68.8774
0.84,386.128,224.342,48.9909,113.764,104.619,-4185.44,-69.3896
0.86,386.935,222.172,51.3059,115.752,99.3947,-261.219,-69.7361
0.88,387.743,219.969,53.6521,117.311,77.981,-1070.69,-69.9547
0.9,388.554,217.739,56.0251,118.648,66.8364,-557.226,-70.067
0.92,389.369,215.49,58.418,119.644,49.7897,-852.336,-70.095
0.94,390.189,213.224,60.827,120.449,40.2278,-478.096,-70.0596
0.96,391.016,210.951,63.2462,120.96,25.591,-731.84,-69.9788
0.98,391.85,208.669,65.6751,121.449,24.4385,-57.6226,-69.8636
1,392.69,206.386,68.1087,121.678,11.4349,-650.183,-69.7252
1.02,393.537,204.1,70.5459,121.858,8.98732,-122.378,-69.5715
1.04,394.392,201.815,72.9856,121.987,6.4916,-124.786,-69.4095
1.06,395.254,199.533,75.4255,121.996,0.453665,-301.897,-69.2439
1.08,396.122,197.252,77.8658,122.011,0.732584,13.9459,-69.0796
1.1,396.993,194.981,80.2977,121.598,-20.6338,-1068.32,-68.9502
1.12,397.863,192.727,82.7145,120.837,-38.0934,-872.977,-68.8814
1.14,398.731,190.481,85.1219,120.373,-23.1676,746.288,-68.852
1.16,399.598,188.241,87.5235,120.077,-14.8082,417.972,-68.8445
1.18,400.464,186.002,89.9242,120.039,-1.89368,645.724,-68.8401
1.2,401.333,183.76,92.3291,120.24,10.0656,597.965,-68.8207
1.22,402.206,181.508,94.7442,120.757,25.8269,788.061,-68.7605
1.24,403.088,179.245,97.1735,121.466,35.4417,480.745,-68.6391
1.26,403.984,176.963,99.6249,122.568,55.1099,983.407,-68.4303
1.28,404.902,174.659,102.105,124.016,72.4074,864.877,-68.1028
1.3,405.85,172.327,104.623,125.888,93.5652,1057.89,-67.62
1.32,406.84,169.96,107.188,128.276,119.41,1292.22,-66.942
