"time","x","y","position","velocity","acceleration","jerk","heading"
0,493.661,6.9482,0,0,0,0,-180
0.02,493.47,6.9482,0.190733,9.53665,476.833,23841.6,179.997
0.04,493.28,6.9482,0.38071,9.49887,-1.88913,-23936.1,179.993
0.06,493.09,6.9482,0.571443,9.53665,1.88913,188.913,179.99
0.08,492.899,6.9482,0.762421,9.54887,0.610865,-63.9135,179.986
0.1,492.708,6.9483,0.953154,9.53665,-0.610799,-61.0832,179.983
0.12,492.318,6.9484,1.34255,19.4699,496.663,24863.7,179.965
0.14,491.855,6.94881,1.80642,23.1932,186.166,-15524.9,179.941
0.16,491.312,6.94942,2.34946,27.1521,197.942,588.803,179.904
0.18,490.703,6.95064,2.95843,30.4487,164.833,-1655.45,179.855
0.2,489.99,6.95281,3.67125,35.6409,259.609,4738.83,179.778
0.22,489.214,6.95632,4.44696,38.7855,157.229,-5119.03,179.681
0.24,488.362,6.96192,5.29928,42.6158,191.518,1714.5,179.557
0.26,487.427,6.97028,6.23441,46.7566,207.036,775.879,179.397
0.28,486.406,6.98268,7.25484,51.0215,213.246,310.51,179.195
0.3,485.301,7.00047,8.36006,55.2611,211.98,-63.3062,178.945
0.32,484.108,7.02555,9.55307,59.6508,219.488,375.384,178.639
0.34,482.84,7.05955,10.8217,63.4305,188.982,-1525.29,178.274
0.36,481.539,7.10329,12.1233,65.0785,82.399,-5329.15,177.857
0.38,480.227,7.15748,13.4364,65.6577,28.9603,-2671.94,177.394
0.4,478.904,7.22351,14.7618,66.2675,30.4937,76.6716,176.883
0.42,477.568,7.30268,16.0997,66.8956,31.4049,45.5574,176.319
0.44,476.222,7.39632,17.4496,67.4958,30.0077,-69.859,175.705
0.46,474.864,7.50593,18.812,68.1188,31.1505,57.1419,175.04
0.48,473.494,7.63316,20.1873,68.767,32.4079,62.8688,174.323
0.5,472.114,7.77959,21.5756,69.4161,32.4564,2.42682,173.551
0.52,470.718,7.94731,22.9812,70.2788,43.134,533.878,172.712
0.54,469.31,8.13822,24.4017,71.026,37.3614,-288.627,171.809
0.56,467.893,8.35387,25.8352,71.6739,32.3956,-248.29,170.852
0.58,466.466,8.59622,27.2829,72.3842,35.5155,155.995,169.838
0.6,465.025,8.8682,28.7495,73.3307,47.3258,590.511,168.746
0.62,463.575,9.17125,30.2306,74.0561,36.2681,-552.885,167.597
0.64,462.113,9.5089,31.7312,75.0269,48.5381,613.503,166.366
0.66,460.643,9.88255,33.2482,75.8542,41.3663,-358.593,165.068
0.68,459.166,10.2949,34.7817,76.6725,40.915,-22.561,163.704
0.7,457.68,10.7495,36.3357,77.7006,51.4046,524.48,162.253
0.72,456.19,11.2472,37.9064,78.5371,41.8237,-479.045,160.739
0.74,454.697,11.7918,39.4953,79.4435,45.3204,174.832,159.146
0.76,453.207,12.3839,41.0992,80.1921,37.4306,-394.49,157.492
0.78,451.718,13.0268,42.7211,81.0988,45.3343,395.187,155.766
0.8,450.239,13.7197,44.3535,81.6186,25.9916,-967.136,153.994
0.82,448.766,14.4682,46.0065,82.6515,51.6434,1282.59,152.14
0.84,447.309,15.2685,47.6684,83.0914,21.9997,-1482.19,150.251
0.86,445.871,16.1222,49.3405,83.609,25.8786,193.943,148.319
0.88,444.459,17.0279,51.0187,83.9069,14.8943,-549.216,146.361
0.9,443.072,17.9854,52.7035,84.2419,16.7516,92.8662,144.375
0.92,441.718,18.9917,54.3904,84.3424,5.02391,-586.384,142.382
0.94,440.4,20.0447,56.0779,84.3746,1.60711,-170.84,140.388
0.96,439.121,21.1409,57.7621,84.211,-8.17627,-489.169,138.406
