"time","x","y","position","velocity","acceleration","jerk","heading"
0,464.833,44.5937,0,0,0,0,-160.346
0.02,464.654,44.5299,0.189819,9.49097,474.548,23727.4,-160.347
0.04,464.477,44.4662,0.378419,9.42999,-3.049,-23879.9,-160.349
0.06,464.298,44.4025,0.568205,9.48929,2.96501,300.701,-160.35
0.08,464.119,44.3388,0.757991,9.48929,-6.13571e-09,-148.25,-160.351
0.1,463.941,44.2751,0.947532,9.47707,-0.610865,-30.5433,-160.353
0.12,463.579,44.146,1.33151,19.1988,486.085,24334.8,-160.359
0.14,463.15,43.9929,1.78696,22.7727,178.696,-15369.5,-160.368
0.16,462.65,43.8145,2.31782,26.5429,188.512,490.784,-160.381
0.18,462.092,43.6156,2.91008,29.6131,153.51,-1750.07,-160.399
0.2,461.445,43.3853,3.59737,34.3645,237.568,4202.9,-160.427
0.22,460.744,43.1365,4.34117,37.19,141.275,-4814.65,-160.462
0.24,459.98,42.8655,5.15148,40.5153,166.264,1249.45,-160.507
0.26,459.149,42.5716,6.03351,44.1017,179.323,652.908,-160.565
0.28,458.249,42.2549,6.98703,47.6761,178.715,-30.3664,-160.637
0.3,457.284,41.9165,8.00989,51.1428,173.336,-268.951,-160.727
0.32,456.254,41.5573,9.1006,54.5353,169.627,-185.443,-160.836
0.34,455.169,41.1816,10.249,57.4202,144.243,-1269.23,-160.965
0.36,454.068,40.8032,11.4135,58.223,40.1434,-5204.96,-161.111
0.38,452.969,40.4288,12.5742,58.0385,-9.22546,-2468.45,-161.272
0.4,451.873,40.0591,13.7312,57.8464,-9.60437,-18.9452,-161.448
0.42,450.78,39.6943,14.8832,57.6045,-12.0994,-124.754,-161.643
0.44,449.688,39.3344,16.0326,57.4653,-6.95551,257.197,-161.852
0.46,448.6,38.9799,17.1773,57.2382,-11.3567,-220.059,-162.078
0.48,447.514,38.6309,18.318,57.0317,-10.3242,51.6243,-162.319
0.5,446.431,38.2883,19.4536,56.7808,-12.5486,-111.219,-162.582
0.52,445.349,37.9516,20.5871,56.6747,-5.30455,362.201,-162.855
0.54,444.27,37.6217,21.7157,56.4297,-12.2499,-347.267,-163.149
0.56,443.193,37.2986,22.8393,56.1829,-12.3406,-4.53735,-163.46
0.58,442.119,36.9825,23.9596,56.0165,-8.31636,201.214,-163.785
0.6,441.048,36.6744,25.0741,55.7244,-14.6079,-314.579,-164.134
0.62,439.977,36.3738,26.1864,55.6114,-5.64751,448.021,-164.496
0.64,438.91,36.0816,27.2919,55.2784,-16.6518,-550.215,-164.881
0.66,437.845,35.7976,28.3949,55.1491,-6.46383,509.4,-165.28
0.68,436.783,35.5224,29.4921,54.8599,-14.462,-399.907,-165.698
0.7,435.721,35.2561,30.5862,54.7023,-7.88086,329.055,-166.132
0.72,434.663,34.9992,31.6751,54.4471,-12.7556,-243.735,-166.586
0.74,433.606,34.7515,32.7614,54.313,-6.70755,302.4,-167.054
0.76,432.551,34.5136,33.8425,54.0576,-12.7703,-303.136,-167.538
0.78,431.497,34.2852,34.9213,53.9373,-6.01482,337.773,-168.035
0.8,430.443,34.0668,35.9971,53.7929,-7.21842,-60.18,-168.543
0.82,429.391,33.8584,37.0702,53.6523,-7.03338,9.25215,-169.062
0.84,428.338,33.6599,38.1412,53.5502,-5.10182,96.5777,-169.589
0.86,427.284,33.4714,39.2122,53.5504,0.00984743,255.583,-170.12
0.88,426.229,33.2927,40.2818,53.4809,-3.47615,-174.3,-170.653
0.9,425.172,33.1238,41.3521,53.5147,1.68861,258.238,-171.184
0.92,424.113,32.9644,42.4234,53.5653,2.53098,42.1183,-171.708
0.94,423.049,32.8144,43.4981,53.7343,8.45101,296.002,-172.224
0.96,421.981,32.6734,44.575,53.8452,5.54397,-145.352,-172.725
0.98,420.907,32.541,45.657,54.0997,12.7264,359.122,-173.208
1,419.828,32.4171,46.743,54.2991,9.96976,-137.833,-173.674
1.02,418.738,32.3005,47.8392,54.8115,25.6186,782.442,-174.102
1.04,417.643,32.1914,48.9401,55.0473,11.79,-691.431,-174.507
1.06,416.538,32.089,50.0498,55.4859,21.9306,507.031,-174.877
1.08,415.423,31.9926,51.1684,55.9293,22.1722,12.0812,-175.208
1.1,414.301,31.9017,52.2943,56.2941,18.2389,-196.668,-175.511
1.12,413.164,31.815,53.4349,57.0302,36.8057,928.342,-175.756
1.14,412.019,31.7324,54.583,57.4034,18.6599,-907.293,-175.969
1.16,410.863,31.6529,55.7413,57.9144,25.5467,344.34,-176.139
1.18,409.697,31.5758,56.9099,58.4293,25.7456,9.94444,-176.266
1.2,408.523,31.5003,58.0866,58.8385,20.4627,-264.142,-176.363
1.22,407.336,31.4253,59.2762,59.4806,32.1018,581.956,-176.403
1.24,406.141,31.3506,60.4734,59.8581,18.8787,-661.156,-176.416
1.26,404.937,31.2753,61.6791,60.286,21.3959,125.86,-176.394
1.28,403.727,31.1986,62.8917,60.6296,17.1783,-210.879,-176.34
1.3,402.51,31.1201,64.1115,60.9897,18.0058,41.3729,-176.261
1.32,401.286,31.039,65.3385,61.3495,17.9901,-0.782851,-176.149
1.34,400.057,30.955,66.5698,61.5656,10.8043,-359.289,-176.02
1.36,398.823,30.8676,67.807,61.857,14.5706,188.311,-175.868
1.38,397.586,30.7765,69.0475,62.0277,8.53553,-301.752,-175.703
1.4,396.345,30.6815,70.2922,62.2367,10.4479,95.6174,-175.522
1.42,395.102,30.5821,71.5387,62.3242,4.37708,-303.54,-175.331
1.44,393.857,30.4782,72.7882,62.4757,7.57439,159.866,-175.129
1.46,392.612,30.3699,74.0381,62.4926,0.84424,-336.508,-174.923
1.48,391.366,30.2569,75.2895,62.5727,4.00548,158.062,-174.712
1.5,390.119,30.1392,76.5419,62.6179,2.25804,-87.3718,-174.499
1.52,388.873,30.0168,77.7939,62.6019,-0.799049,-152.855,-174.285
1.54,387.627,29.8898,79.0462,62.6116,0.484583,64.1816,-174.072
1.56,386.383,29.7582,80.2971,62.5485,-3.15711,-182.084,-173.862
1.58,385.14,29.6222,81.5478,62.5348,-0.682681,123.721,-173.655
1.6,383.898,29.4819,82.798,62.5097,-1.25548,-28.6402,-173.452
1.62,382.658,29.3374,84.0462,62.4101,-4.98027,-186.239,-173.255
1.64,381.421,29.1889,85.2922,62.299,-5.5546,-28.7162,-173.065
1.66,380.185,29.0366,86.5369,62.2364,-3.12872,121.294,-172.882
1.68,378.953,28.8806,87.7794,62.1248,-5.57932,-122.53,-172.706
1.7,377.721,28.7211,89.0217,62.1118,-0.653496,246.291,-172.537
1.72,376.493,28.5585,90.2597,61.8996,-10.6058,-497.618,-172.379
1.74,375.268,28.3929,91.4959,61.8116,-4.40327,310.129,-172.23
1.76,374.046,28.2245,92.7301,61.709,-5.1284,-36.2568,-172.091
1.78,372.827,28.0537,93.961,61.5444,-8.23258,-155.209,-171.963
1.8,371.609,27.8805,95.191,61.5021,-2.11364,305.947,-171.844
1.82,370.396,27.7054,96.4162,61.2606,-12.075,-498.068,-171.738
1.84,369.185,27.5286,97.64,61.19,-3.52709,427.395,-171.643
1.86,367.978,27.3503,98.8602,61.0085,-9.07733,-277.512,-171.56
1.88,366.774,27.1708,100.078,60.8729,-6.77991,114.871,-171.489
1.9,365.574,26.9905,101.291,60.6865,-9.32187,-127.098,-171.43
1.92,364.377,26.8097,102.502,60.5364,-7.50293,90.947,-171.388
1.94,363.184,26.6285,103.709,60.3341,-10.1136,-130.532,-171.359
1.96,361.993,26.4474,104.913,60.2155,-5.93025,209.166,-171.344
1.98,360.807,26.2667,106.113,59.9843,-11.5593,-281.451,-171.344
2,359.625,26.0868,107.309,59.7996,-9.23825,116.051,-171.359
2.02,358.446,25.9081,108.501,59.6009,-9.93341,-34.7578,-171.394
2.04,357.273,25.7309,109.687,59.3248,-13.8041,-193.534,-171.447
2.06,356.103,25.5556,110.87,59.1454,-8.9697,241.719,-171.518
2.08,354.938,25.3828,112.048,58.8756,-13.4918,-226.108,-171.61
2.1,353.779,25.2128,113.22,58.5915,-14.205,-35.6564,-171.724
2.12,352.629,25.047,114.381,58.0718,-25.9861,-589.056,-171.883
2.14,351.508,24.8894,115.514,56.6358,-71.7995,-2290.67,-172.157
2.16,350.393,24.7389,116.639,56.2527,-19.1532,2632.31,-172.467
2.18,349.281,24.595,117.76,56.0378,-10.7478,420.273,-172.791
2.2,348.171,24.4578,118.878,55.9225,-5.76192,249.292,-173.125
2.22,347.066,24.3279,119.991,55.6595,-13.1502,-369.414,-173.477
2.24,345.96,24.2049,121.103,55.6074,-2.60422,527.298,-173.838
2.26,344.858,24.0895,122.212,55.419,-9.42345,-340.962,-174.211
2.28,343.756,23.9816,123.319,55.3447,-3.71104,285.621,-174.595
2.3,342.657,23.8812,124.423,55.209,-6.78953,-153.924,-174.987
2.32,341.559,23.7888,125.524,55.0756,-6.66573,6.18977,-175.391
2.34,340.463,23.7044,126.624,54.9683,-5.36683,64.9452,-175.801
2.36,339.367,23.6279,127.722,54.9132,-2.75391,130.646,-176.217
2.38,338.272,23.5595,128.82,54.8854,-1.39205,68.093,-176.637
2.4,337.177,23.4992,129.916,54.8229,-3.12592,-86.6932,-177.06
2.42,336.081,23.447,131.013,54.8623,1.97272,254.932,-177.482
2.44,334.984,23.4028,132.111,54.8796,0.863988,-55.4364,-177.901
2.46,333.886,23.3665,133.209,54.9247,2.25328,69.4647,-178.315
2.48,332.786,23.3381,134.311,55.0598,6.756,225.136,-178.721
2.5,331.682,23.3173,135.414,55.1837,6.19655,-27.9728,-179.112
2.52,330.573,23.3038,136.523,55.4474,13.1831,349.327,-179.485
2.54,329.459,23.2974,137.637,55.6883,12.0463,-56.8405,-179.838
2.56,328.339,23.2976,138.757,56.0049,15.832,189.286,179.835
2.58,327.211,23.3039,139.885,56.409,20.2051,218.654,179.541
2.6,326.074,23.3157,141.022,56.8512,22.107,95.0945,179.283
2.62,324.926,23.3324,142.17,57.4041,27.6443,276.866,179.07
2.64,323.768,23.3532,143.329,57.9449,27.0407,-30.1787,178.901
2.66,322.596,23.3771,144.501,58.5953,32.5189,273.911,178.785
2.68,321.411,23.4031,145.686,59.2436,32.4172,-5.08526,178.726
2.7,320.211,23.43,146.887,60.0273,39.1862,338.452,178.727
2.72,318.994,23.4566,148.104,60.8574,41.5012,115.746,178.796
2.74,317.763,23.4815,149.335,61.5627,35.2659,-311.764,178.927
2.76,316.516,23.503,150.583,62.3791,40.8233,277.872,179.121
2.78,315.252,23.5198,151.846,63.1696,39.5215,-65.0914,179.38
2.8,313.973,23.5302,153.126,63.9848,40.7628,62.0661,179.706
2.82,312.677,23.5326,154.422,64.8137,41.4443,34.0754,-179.9
2.84,311.367,23.5255,155.731,65.4742,33.0252,-420.957,-179.452
2.86,310.045,23.5074,157.053,66.0898,30.7798,-112.268,-178.954
2.88,308.713,23.477,158.386,66.6373,27.3766,-170.161,-178.412
2.9,307.372,23.4332,159.728,67.0802,22.1446,-261.603,-177.831
2.92,306.022,23.3749,161.079,67.5562,23.7959,82.5689,-177.213
2.94,304.667,23.3014,162.436,67.8437,14.3789,-470.854,-176.57
2.96,303.309,23.2122,163.797,68.08,11.8121,-128.339,-175.911
2.98,301.949,23.107,165.16,68.1642,4.21166,-380.021,-175.241
3,300.59,22.9858,166.525,68.2338,3.48198,-36.4844,-174.566
3.02,299.232,22.8486,167.89,68.2385,0.233811,-162.408,-173.892
3.04,297.878,22.6957,169.253,68.1532,-4.26639,-225.01,-173.227
3.06,296.529,22.5275,170.612,67.9633,-9.49543,-261.452,-172.572
3.08,295.185,22.3445,171.969,67.8298,-6.67543,141,-171.931
3.1,293.847,22.1473,173.321,67.6149,-10.7449,-203.472,-171.307
3.12,292.517,21.9368,174.668,67.3313,-14.1799,-171.75,-170.71
3.14,291.195,21.7136,176.008,67.0248,-15.323,-57.1585,-170.134
3.16,289.881,21.4784,177.343,66.7451,-13.984,66.9502,-169.581
3.18,288.576,21.2321,178.671,66.3929,-17.6134,-181.47,-169.057
3.2,287.278,20.9753,179.994,66.1506,-12.114,274.972,-168.557
3.22,285.991,20.7089,181.309,65.7602,-19.5216,-370.381,-168.085
3.24,284.712,20.4339,182.617,65.368,-19.6087,-4.35364,-167.645
3.26,283.442,20.1506,183.918,65.0712,-14.8415,238.36,-167.229
3.28,282.196,19.8635,185.197,63.9535,-55.883,-2052.08,-166.845
3.3,281.012,19.5829,186.414,60.8319,-156.079,-5009.82,-166.505
3.32,279.908,19.3149,187.55,56.8153,-200.83,-2237.51,-166.205
3.34,278.888,19.0619,188.601,52.5435,-213.593,-638.159,-165.948
3.36,277.95,18.8251,189.568,48.3648,-208.933,233.01,-165.729
3.38,277.092,18.6054,190.454,44.2836,-204.062,243.512,-165.539
3.4,276.312,18.4029,191.26,40.2969,-199.331,236.576,-165.378
3.42,275.599,18.2158,191.997,36.8498,-172.355,1348.81,-165.239
3.44,274.963,18.0474,192.655,32.9031,-197.335,-1249.01,-165.124
3.46,274.422,17.9032,193.215,27.9929,-245.512,-2408.86,-165.031
3.48,273.918,17.768,193.737,26.1054,-94.3731,7556.95,-164.945
3.5,273.55,17.669,194.117,19.0151,-354.516,-13007.1,-164.889
3.52,273.237,17.5841,194.442,16.2463,-138.44,10803.8,-164.844
3.54,272.922,17.4988,194.768,16.3099,3.18077,7081.02,-164.798
3.56,272.671,17.4303,195.028,13.0094,-165.029,-8410.47,-164.764
3.58,272.472,17.376,195.235,10.32,-134.468,1528.04,-164.738
3.6,272.273,17.3217,195.441,10.3089,-0.55821,6695.48,-164.713
3.62,272.074,17.2672,195.647,10.3223,0.670191,61.4201,-164.687
3.64,271.875,17.2127,195.854,10.3112,-0.551445,-61.0818,-164.662
3.66,271.676,17.1582,196.06,10.2999,-0.564585,-0.656969,-164.638
3.68,271.478,17.1036,196.265,10.2888,-0.557904,0.334061,-164.615
3.7,271.28,17.049,196.47,10.2415,-2.36357,-90.2831,-164.592
3.72,271.082,16.9944,196.676,10.2908,2.46307,241.332,-164.569
3.74,270.883,16.9396,196.882,10.2917,0.0465241,-120.827,-164.546
3.76,270.686,16.885,197.087,10.244,-2.38356,-121.504,-164.527
3.78,270.489,16.8305,197.291,10.2203,-1.18841,59.7574,-164.51
3.8,270.293,16.7759,197.495,10.1727,-2.37552,-59.3556,-164.493
3.82,270.096,16.7213,197.699,10.2219,2.45561,241.556,-164.476
3.84,269.899,16.6667,197.903,10.2103,-0.577448,-151.653,-164.46
3.86,269.703,16.612,198.107,10.1629,-2.36815,-89.5351,-164.444
3.88,269.507,16.5574,198.31,10.1873,1.22004,179.409,-164.43
3.9,269.311,16.5028,198.514,10.1882,0.0402154,-58.9912,-164.416
3.92,269.116,16.4481,198.717,10.1405,-2.38097,-121.059,-164.402
3.94,268.919,16.3933,198.921,10.1894,2.44137,241.117,-164.388
3.96,268.723,16.3386,199.124,10.1655,-1.19486,-181.811,-164.376
3.98,268.529,16.284,199.326,10.1054,-3.00486,-90.5005,-164.365
4,268.334,16.2294,199.529,10.142,1.83021,241.754,-164.355
4.02,268.139,16.1748,199.731,10.0941,-2.39376,-211.198,-164.345
4.04,267.944,16.1201,199.934,10.1551,3.05175,272.275,-164.334
4.06,267.802,16.0803,200.081,7.34509,-140.502,-7177.68,-164.328
4.08,267.705,16.0531,200.182,5.05908,-114.3,1310.06,-164.326
4.1,267.608,16.026,200.282,5.01121,-2.39386,5595.33,-164.324
4.12,267.512,15.9987,200.383,5.02329,0.604088,149.897,-164.321
4.14,267.415,15.9716,200.483,5.01121,-0.604088,-60.4088,-164.319
4.16,267.317,15.9443,200.584,5.07157,3.01814,181.111,-164.316
4.18,267.221,15.9171,200.685,5.01134,-3.01136,-301.475,-164.314
4.2,267.124,15.8899,200.785,5.02356,0.610865,181.111,-164.311
4.22,267.028,15.8627,200.885,5.01148,-0.604084,-60.7474,-164.309
4.24,266.93,15.8355,200.987,5.0717,3.01129,180.769,-164.306
