"time","x","y","position","velocity","acceleration","jerk","heading"
0,252.174,26.8775,0,0,180,0,0
0.02,252.364,26.8775,0.189737,3.6,180,0,-0.000292315
0.04,252.554,26.8775,0.379473,7.2,180,0,-0.000584629
0.06,252.744,26.8775,0.56921,10.8,180,0,-0.000876944
0.08,252.933,26.8775,0.758947,14.4,180,0,-0.00116926
0.1,253.123,26.8775,0.948683,18,180,0,-0.00146157
0.12,253.508,26.8775,1.33418,21.6,180,0,-0.00224265
0.14,253.967,26.8775,1.79224,25.2,180,0,-0.00320492
0.16,254.501,26.8775,2.3262,28.8,180,0,-0.00510259
0.18,255.097,26.8774,2.92317,32.4,180,0,-0.00777666
0.2,255.791,26.8773,3.61697,36,180,0,-0.0115302
0.22,256.543,26.8771,4.36898,39.6,180,0,-0.01631
0.24,257.365,26.8768,5.19104,43.2,180,0,-0.0225241
0.26,258.261,26.8764,6.08706,46.8,180,0,-0.0304025
0.28,259.232,26.8758,7.05782,50.4,180,0,-0.0399932
0.3,260.277,26.875,8.10271,54,180,0,-0.0521782
0.32,261.395,26.8739,9.22053,57.6,180,0,-0.066235
0.34,262.584,26.8723,10.4098,61.2,180,0,-0.0834244
0.36,263.843,26.8703,11.6688,64.8,180,0,-0.10311
0.38,265.17,26.8677,12.9961,68.4,180,0,-0.125659
0.4,266.578,26.8643,14.4042,72,180,0,-0.151922
0.42,268.052,26.86,15.8777,75.6,180,0,-0.181155
0.44,269.602,26.8546,17.4275,79.2,180,0,-0.214436
0.46,271.219,26.8481,19.0445,82.8,180,0,-0.25126
0.48,272.913,26.8401,20.7384,86.4,180,0,-0.292063
0.5,274.677,26.8304,22.5028,90,180,0,-0.336819
0.52,276.512,26.8188,24.3383,93.6,180,0,-0.385579
0.54,278.42,26.8051,26.2457,97.2,180,0,-0.438336
0.56,280.4,26.789,28.2255,100.8,180,0,-0.494965
0.58,282.452,26.7702,30.2776,104.4,180,0,-0.555335
0.6,284.576,26.7485,32.4018,108,180,0,-0.619255
0.62,286.771,26.7235,34.5977,111.6,180,0,-0.686214
0.64,289.038,26.6949,36.8648,115.2,180,0,-0.755685
0.66,291.378,26.6626,39.205,118.8,180,0,-0.826996
0.68,293.79,26.6262,41.6174,122.4,180,0,-0.899152
0.7,296.273,26.5857,44.1005,126,180,0,-0.970939
0.72,298.83,26.5408,46.6572,129.6,180,0,-1.0408
0.74,301.457,26.4915,49.285,133.2,180,0,-1.10681
0.76,304.155,26.4379,51.9841,136.8,180,0,-1.16661
0.78,306.928,26.3802,54.7568,140.4,180,0,-1.217
0.8,309.771,26.3187,57.601,144,180,0,-1.25451
0.82,312.686,26.2543,60.517,147.6,180,0,-1.27466
0.84,315.674,26.1877,63.505,151.2,180,0,-1.27219
0.86,318.733,26.1204,66.5649,154.8,180,0,-1.24113
0.88,321.864,26.0542,69.6968,158.4,180,0,-1.17408
0.9,325.067,25.9914,72.9003,162,180,0,-1.06362
0.92,328.343,25.9349,76.1765,165.6,180,0,-0.900957
0.94,331.691,25.8884,79.5248,169.2,180,0,-0.677769
0.96,335.11,25.8562,82.9442,172.8,180,0,-0.386775
0.98,338.602,25.8435,86.4367,176.4,180,0,-0.0172075
1,342.166,25.8559,90,180,4.98003e-07,0,0.432174
1.02,345.765,25.8992,93.6,180,0,0,0.95988
1.04,349.364,25.9778,97.2,180,0,0,1.55366
1.06,352.962,26.0956,100.8,180,0,0,2.20617
1.08,356.553,26.2555,104.394,178.6,-180,0,2.90217
1.1,360.083,26.4564,107.93,175,-180,0,3.61654
1.12,363.539,26.6964,111.394,171.4,-180,0,4.33148
1.14,366.919,26.9733,114.786,167.8,-180,0,5.03341
1.16,370.225,27.2843,118.106,164.2,-180,0,5.71138
1.18,373.455,27.6258,121.354,160.6,-180,0,6.35717
1.2,376.609,27.9943,124.53,157,-180,0,6.96585
1.22,379.688,28.3862,127.634,153.4,-180,0,7.53397
1.24,382.692,28.7977,130.666,149.8,-180,0,8.06016
1.26,385.621,29.2253,133.626,146.2,-180,0,8.54452
1.28,388.475,29.6656,136.513,142.6,-180,0,8.98846
1.3,391.255,30.1156,139.33,139,-180,0,9.39385
1.32,393.961,30.5724,142.074,135.4,-180,0,9.76305
1.34,396.593,31.0333,144.746,131.8,-180,0,10.0977
